Order,Property Id,DOF Gross Floor Area,Year Built,Number of Buildings - Self-reported,Occupancy,Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Site Natural Gas Use (therms),Water Intensity (All Water Sources) (gal/ft²),Latitude,Longitude,Community Board,Census Tract,log_Direct GHG Emissions (Metric Tons CO2e),log_Water Intensity (All Water Sources) (gal/ft²),Borough_Staten Island,Largest Property Use Type_Adult Education,Largest Property Use Type_Automobile Dealership,Largest Property Use Type_Bank Branch,Largest Property Use Type_College/University,Largest Property Use Type_Convenience Store without Gas Station,Largest Property Use Type_Courthouse,Largest Property Use Type_Distribution Center,Largest Property Use Type_Enclosed Mall,Largest Property Use Type_Financial Office,Largest Property Use Type_Hospital (General Medical & Surgical),Largest Property Use Type_Hotel,Largest Property Use Type_K-12 School,Largest Property Use Type_Library,Largest Property Use Type_Mailing Center/Post Office,Largest Property Use Type_Manufacturing/Industrial Plant,Largest Property Use Type_Medical Office,Largest Property Use Type_Movie Theater,Largest Property Use Type_Multifamily Housing,Largest Property Use Type_Museum,Largest Property Use Type_Non-Refrigerated Warehouse,Largest Property Use Type_Other,Largest Property Use Type_Other - Education,Largest Property Use Type_Other - Entertainment/Public Assembly,Largest Property Use Type_Other - Lodging/Residential,Largest Property Use Type_Other - Mall,Largest Property Use Type_Other - Public Services,Largest Property Use Type_Other - Recreation,Largest Property Use Type_Other - Services,Largest Property Use Type_Other - Specialty Hospital,Largest Property Use Type_Outpatient Rehabilitation/Physical Therapy,Largest Property Use Type_Parking,Largest Property Use Type_Performing Arts,Largest Property Use Type_Pre-school/Daycare,Largest Property Use Type_Refrigerated Warehouse,"Largest Property Use Type_Repair Services (Vehicle, Shoe, Locksmith, etc.)",Largest Property Use Type_Residence Hall/Dormitory,Largest Property Use Type_Residential Care Facility,Largest Property Use Type_Retail Store,Largest Property Use Type_Self-Storage Facility,Largest Property Use Type_Senior Care Community,Largest Property Use Type_Social/Meeting Hall,Largest Property Use Type_Strip Mall,Largest Property Use Type_Supermarket/Grocery Store,Largest Property Use Type_Urgent Care/Clinic/Other Outpatient,Largest Property Use Type_Wholesale Club/Supercenter,Largest Property Use Type_Worship Facility
3017,2677841,318448.0,1980,1,100,103.9,7.2,0.8,265780.0,66.27,40.770824,-73.982739,7.0,149.0,7.190148389500307,4.193737306100135,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9352,4407998,220000.0,1926,1,100,92.4,5.7,0.8,180743.9,,40.672162,-73.964289,8.0,215.0,6.803172238789697,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14217,2897085,61050.0,1959,1,100,97.6,5.2,0.8,51648.5,43.99,,,,,5.549465114271844,3.7839623353606284,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6674,2643920,124805.0,1964,1,100,63.1,3.7,0.5,62848.0,62.95,40.833726,-73.920936,4.0,195.0,5.810542011227735,4.142340760490356,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9839,3129487,51796.0,1927,1,100,91.9,7.8,0.7,36477.7,84.79,40.703959,-73.954693,1.0,533.0,5.176714544788788,4.440177611315912,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8245,2884654,78871.0,1964,1,100,18.8,2.7,0.1,7970.5,,40.834476,-73.872254,9.0,64.0,3.703768066607687,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7951,2720946,87780.0,1932,1,100,86.0,3.9,0.8,79642.9,100.77,40.87028,-73.893522,7.0,40303.0,5.975335165178098,4.612840692292311,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4633,4037255,368801.0,1986,1,100,150.2,9.7,0.0,3767.4,83.1,40.76843,-73.951407,8.0,132.0,2.9806186357439426,4.420044701861403,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11848,2674519,52590.0,1967,1,100,140.8,5.0,1.3,69695.1,,40.647487,-73.890951,18.0,1018.0,5.845282036929901,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14088,2801259,150000.0,1930,1,100,86.6,3.9,0.8,115972.2,,,,,,6.364578624998487,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6794,2650286,54000.0,1926,1,100,92.7,4.8,,,,40.843456,-73.924705,4.0,201.0,5.741399338227508,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5033,2656225,300000.0,2006,1,100,92.0,12.4,0.5,153955.7,27.05,40.776035,-73.943978,8.0,14402.0,6.594276651486346,3.2976870052924907,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4781,2546264,57666.0,1922,1,100,72.8,7.0,0.5,30744.0,38.61,40.775481,-73.957995,8.0,140.0,5.006627272698717,3.653511310276145,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9724,4404437,138474.0,1946,1,100,92.9,3.2,0.9,121688.3,43.35,40.688385,-73.967854,2.0,197.0,6.398761310045116,3.769306703226551,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8302,3269949,67018.0,1927,1,100,97.0,5.2,0.8,56560.9,185.44,40.84009,-73.873382,6.0,220.0,5.642616039418714,5.222731379591441,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8622,4842720,58682.0,1940,1,100,22.5,4.6,0.1,3948.4,,40.905645,-73.849026,12.0,442.0,3.0252910757955354,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2629,2562986,105572.0,1910,1,100,110.9,21.4,0.2,21884.5,96.66,40.744379,-73.974904,6.0,78.0,5.616771097666572,4.571199666416938,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14424,4940498,70513.0,1928,1,95,67.2,4.2,0.5,32711.6,52.46,,,,,5.353278924622011,3.9600509744387278,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
643,4401483,73121.0,1906,1,100,41.2,4.5,0.3,21640.6,,40.709639,-74.008325,1.0,1502.0,4.635699391022914,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3345,2721974,59544.0,1928,1,100,107.5,8.9,0.0,1049.0,36.9,40.782515,-73.976796,7.0,165.0,5.878575765029364,3.6082115510464816,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1849,5815333,55392.0,1913,1,100,76.8,10.4,,,13.13,40.746567,-73.99175,5.0,95.0,5.1387352967235715,2.574899688314705,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5829,2732519,62095.0,1907,1,100,81.4,4.7,0.0,2574.0,,40.825234,-73.951337,9.0,229.0,5.850476853807004,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
12538,4419450,108732.0,1936,1,100,20.7,3.4,0.1,9997.0,42.59,,,,,3.9721769282478934,3.751619483935122,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10258,2830950,82198.0,1986,3,100,86.0,,0.8,82344.7,,40.671797,-73.887263,5.0,1162.0,6.019565977218857,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8262,3790377,75600.0,1929,1,100,73.5,4.0,0.6,43705.5,,40.839737,-73.866917,9.0,21601.0,5.515040350059324,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10799,4411851,62934.0,1927,1,100,88.9,3.5,0.8,48909.4,147.07,40.645162,-73.97932,12.0,496.0,5.5595271186687025,4.990908663912222,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3554,4952327,156303.0,1928,1,100,64.0,3.9,0.0,7259.4,,40.793521,-73.974485,7.0,179.0,6.412803004372437,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
307,4972284,,1961,1,95,34.3,6.7,0.1,92768.0,,,,,,6.199900469549918,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7853,2721167,72110.0,1923,1,100,69.0,3.9,0.6,49871.5,,40.868218,-73.883915,7.0,415.0,5.506550305126492,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8821,2792132,263206.0,1960,1,100,73.5,4.1,0.0,6307.8,34.18,40.903245,-73.901058,8.0,345.0,7.062105938812062,3.5316406776874447,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1967,2689469,93722.0,1906,1,100,79.1,12.9,0.0,97.5,77.39,40.740029,-73.991808,5.0,54.0,5.560681631015528,4.348857573282368,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3613,3119901,58201.0,1930,1,100,135.6,17.2,0.3,18053.9,54.0,40.75806,-73.979974,5.0,96.0,5.667809814197383,3.9889840465642745,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6184,2736777,59226.0,1920,1,100,108.4,4.0,0.1,3087.5,65.74,40.851817,-73.94004,12.0,275.0,6.023205432892045,4.185707568236073,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13371,2641866,213654.0,1973,1,100,49.7,8.1,0.2,53011.3,52.7,,,,,5.611301621862036,3.9646154555473165,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4291,3448554,386287.0,1986,1,100,73.8,16.9,,,,40.762515,-73.968555,8.0,11402.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8924,4409002,89050.0,1902,1,100,68.2,4.7,0.6,68110.7,,40.699803,-73.984081,2.0,23.0,5.822749993720244,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11949,5802583,146834.0,1961,1,100,58.7,3.1,0.5,77383.2,43.98,40.577241,-73.953962,13.0,61002.0,5.9511632503344565,3.783734985126615,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2080,2657114,431082.0,1906,1,60,29.8,7.1,,,2.84,40.74869,-73.985138,5.0,76.0,,1.0438040521731147,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4626,4390415,583731.0,2014,1,100,126.7,12.4,0.9,520833.2,,40.766709,-73.951264,8.0,124.0,7.858756568531687,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2481,2388616,77193.0,1957,1,100,83.4,5.5,0.0,1387.2,40.75,40.747959,-73.979457,6.0,80.0,5.969218938160663,3.7074558396868715,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13777,3530213,81120.0,1959,1,100,95.1,4.6,0.1,7834.5,,,,,,6.133831788394904,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11891,3530206,50400.0,1929,1,100,72.3,2.6,0.7,34107.0,49.34,40.576785,-73.962267,13.0,36002.0,5.133442723357803,3.8987351111012107,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
